wavelength	intensity	cleaned_intensity
405.966	12637.0	12637.0
406.004	12637.0	12637.0
406.042	12709.0	12709.0
406.079	13023.0	13023.0
406.117	12727.0	12727.0
406.155	12567.0	12567.0
406.193	12391.0	12391.0
406.231	12210.0	12210.0
406.268	12002.0	12002.0
406.306	11574.0	11574.0
406.344	11553.0	11553.0
406.382	11270.0	11270.0
406.42	11018.0	11018.0
406.457	10688.0	10688.0
406.495	10595.0	10595.0
406.533	10424.0	10424.0
406.571	10346.0	10346.0
406.608	10073.0	10073.0
406.646	9860.0	9860.0
406.684	9804.0	9804.0
406.722	9832.0	9832.0
406.759	9803.0	9803.0
406.797	9846.0	9846.0
406.835	9546.0	9546.0
406.873	9504.0	9504.0
406.91	9308.0	9308.0
406.948	9683.0	9683.0
406.986	9540.0	9540.0
407.023	9320.0	9320.0
407.061	9435.0	9435.0
407.099	9405.0	9405.0
407.137	9345.0	9345.0
407.174	9177.0	9177.0
407.212	9344.0	9344.0
407.25	9223.0	9223.0
407.287	9173.0	9173.0
407.325	9189.0	9189.0
407.363	9279.0	9279.0
407.401	9372.0	9372.0
407.438	9361.0	9361.0
407.476	9384.0	9384.0
407.514	9309.0	9309.0
407.551	9358.0	9358.0
407.589	9523.0	9523.0
407.627	9466.0	9466.0
407.664	9569.0	9569.0
407.702	9663.0	9663.0
407.74	9614.0	9614.0
407.777	9579.0	9579.0
407.815	9599.0	9599.0
407.853	9675.0	9675.0
407.89	9638.0	9638.0
407.928	9762.0	9762.0
407.966	9683.0	9683.0
408.003	9585.0	9585.0
408.041	9645.0	9645.0
408.079	9645.0	9645.0
408.116	9571.0	9571.0
408.154	9586.0	9586.0
408.192	9577.0	9577.0
408.229	9650.0	9650.0
408.267	9595.0	9595.0
408.305	9445.0	9445.0
408.342	9494.0	9494.0
408.38	9438.0	9438.0
408.418	9511.0	9511.0
408.455	9468.0	9468.0
408.493	9387.0	9387.0
408.53	9260.0	9260.0
408.568	9508.0	9508.0
408.606	9333.0	9333.0
408.643	9276.0	9276.0
408.681	9234.0	9234.0
408.718	9332.0	9332.0
408.756	9213.0	9213.0
408.794	9325.0	9325.0
408.831	9068.0	9068.0
408.869	9276.0	9276.0
408.906	9210.0	9210.0
408.944	9242.0	9242.0
408.982	9125.0	9125.0
409.019	8937.0	8937.0
409.057	9027.0	9027.0
409.094	8905.0	8905.0
409.132	8905.0	8905.0
409.17	8904.0	8904.0
409.207	8884.0	8884.0
409.245	8766.0	8766.0
409.282	8807.0	8807.0
409.32	8772.0	8772.0
409.357	8714.0	8714.0
409.395	8634.0	8634.0
409.432	8772.0	8772.0
409.47	8675.0	8675.0
409.508	8430.0	8430.0
409.545	8582.0	8582.0
409.583	8455.0	8455.0
409.62	8326.0	8326.0
409.658	8288.0	8288.0
409.695	8183.0	8183.0
409.733	8190.0	8190.0
409.77	8120.0	8120.0
409.808	8095.0	8095.0
409.845	8120.0	8120.0
409.883	8053.0	8053.0
409.92	7790.0	7790.0
409.958	7835.0	7835.0
409.995	7747.0	7747.0
410.033	7931.0	7931.0
410.071	7900.0	7900.0
